,index,text
29000,Active_Listening.xls,"Clinician / Therapist Mountain Valley Treatment Center - Plainfield, NH Salary is competitive and based on credentials and relevant experience. Job Description Clinician / Primary Therapist Mountain Valley Treatment Center Plainfield, NH Mountain Valley Treatment Center is a nationally recognized, private, not-for-profit residential treatment program for adolescents and emerging adults (ages 13-20) with debilitating Obsessive-Compulsive Disorder (OCD) and anxiety disorders.  Mountain Valley utilizes the latest evidence-based practices and provides short term care for clients from all over the world. Primary therapists are licensed or license-eligible clinicians who provide clinical services to a caseload of 4-5 residents during a 60-90 day stay. Clinical duties include: providing individual, family, and group therapy; developing and revising treatment plans; communicating with external collateral contacts; and working as part of an interdisciplinary team. Mountain Valley primarily utilizes Cognitive Behavioral Therapy (CBT), specifically Exposure and Response Prevention (ERP) and Acceptance and Commitment Therapy (ACT) in the treatment of OCD and anxiety disorders. Base Requirements:  Masters level, licensed clinician (or license-eligible in NH) required. Experience providing CBT for OCD and anxiety disorders preferred. This is a salaried position. Salary is competitive and based on credentials and relevant experience (specific experience and credentials such as specific training/certification in DBT, ACT, experiential therapy, or doctoral degree). Mountain Valley Treatment Center is a registered 501 (c)(3) non-profit healthcare organization, licensed by the State of NH and accredited by CARF and the Joint Commission. Benefits:  Comprehensive benefits package is available for full-time employees: Medical, Dental, Vision, Retirement 403b, Life Insurance, AD&D, Long & Short-Term Disability, Up to 4+ weeks of Paid Time Off in the first year. Professional training in support of continued professional growth and development. Sponsored attendance and opportunity to present at conferences, including ADAA, IOCDF, ABCT, NATSAP, and IECA. Relaxed work environment with ample opportunity to be outside. EEO www.mountainvalleytreatment.org Relevant Search words: Obsessive-compulsive disorder, cognitive behavioral therapy, OCD, ADAA, IOCDF, ABCT, exposure therapy, CBT DBT EBT ERP clinician counselor, adolescent youth primary therapist, MSW LICSW LCSW psychology doctor, PSYD licensed independent social worker, clinical, holistic, evidence based Job Type: Full-time Salary: Salary is competitive and based on credentials and relevant experience. Job Type: Full-time Benefits: Dental Insurance Disability Insurance Health Insurance Life Insurance Paid Time Off Parental Leave Referral Program Retirement Plan Vision Insurance Education: Master's (Required) License: LCMHC or LCSW (Preferred) Work authorization: United States (Required) Work Location: One location This Company Describes Its Culture as: Innovative -- innovative and risk-taking Outcome-oriented -- results-focused with strong performance culture People-oriented -- supportive and fairness-focused Team-oriented -- cooperative and collaborative Schedule: Monday to Friday Day shift Company's website: mountainvalleytreatment.org Benefit Conditions: Waiting period may apply Only full-time employees eligible Work Remotely: No"
29001,Active_Listening.xls,"It takes a special person to be a Clinician. A person with the skills to engage with children and families during significantly distressing periods of their lives. A person who acts with a kind heart even as you conduct clinical assessments to help put the individual on the path to wellness. Are you that person? If so, do we have an offer for you! 
HCRS is a team of committed clinicians and business leaders passionate about transforming the lives of those at risk. We build and lead integrated, multi-disciplinary teams to care for those receiving services. We strive for excellence and have achieved significant and measurable improvement in clinical outcomes. 
Located in beautiful Vermont offering four seasons of activities and just a short driving distance from Keene, Lebanon, and Hanover, New Hampshire, you can have it all - the shopping, the amenities, and a much lower cost of living than many larger cities. 
 
To be successful in this role, you will have: 
Master’s Degree + minimum 2 years of direct service experience 
Current Vermont License (LICSW, LCMHC, LADC, LMFT) 
Ability to conduct clinical assessments and design treatment plans that target clearly identified treatment goals 
Knowledge of mental health, substance use, social work and behavioral issues that impact children and their families 
Healthy communication skills that allow for honest discussions, feedback, and exchanges 
Ability to work well with a team and demonstrate flexibility when client, program, and/or agency needs require it 
 
Join a team that makes a difference every day!"
29002,Active_Listening.xls,"The Social Worker will establish a good working relationship with other members of the healthcare team. The Social Worker identifies and assesses patient's psychosocial needs and coordinates with the interdisciplinary team to meet those needs. The Social Worker provides follow-up for patients to ensure continuity of care. The Social Worker serves as a liaison between hospital and community agencies. The Social Worker teaches and provides education about Social Services to Staff. The Social Worker acts as an advocate for patients and their families. 
 Education
 B.S. in field of Social Work, Psychology, Sociology, or
 Social Sciences.
 Masters in Social Work is desirable, not
 mandatory.
 Training
 Participates in staff development programs, workshops, and
 other educational programs.
 Special Skills
 Professional Affiliations: Maintains memberships in
 professional organizations that enhance professional
 growth."
29003,Active_Listening.xls,"Salary: $40/hr +DOE At HCRS , you will have the opportunity to use your creativity, teamwork, and passion for people by making strong connections, building meaningful relationships, and making a difference in people's lives. HCRS’s IDRP program  seeks a Clinician to complete evaluations for individuals seeking to meet their IDRP requirements. Ideal candidates are required to have a Master's degree with license, as well as strong skills and experience working with individuals with substance abuse challenges. This is fee for service position. Indeed Hire and HCRS are working together to find the best candidate for this job.  By applying, you agree to be contacted by our agent, Indeed Hire, and receive updates via text and phone about your application. hpsj Job Type: Part-time Experience: working with individuals with substance abuse challenges: 1 year (Required) working in a Mental Health setting: 1 year (Required) Education: Master's (Required) License: LICSW, LCMHC, LADC, LMFT, or licensed psychologist (Required) Job distance: Springfield, VT: Between 31 and 40 miles (Required) Benefits: Other"
29004,Active_Listening.xls,"Effective School Solutions is a rapidly expanding organization that is changing the nature of in-school clinical services throughout the northeast and California. The mission of Effective School Solutions (ESS) is to provide high quality and cost-effective in-district clinical programs for K-12 students with emotional and behavioral challenges. We are actively seeking Program Coordinators and Clinicians to join our organization in Henniker , New Hampshire. We are seeking candidates who are experienced working with high school and middle school students. The ideal candidate will provide clinical services to a small group of selected students with significant behavioral and emotional needs. You will have the opportunity to work with a highly seasoned and professional management team that is dedicated to providing the best possible clinical services. This position will include extensive training to insure that the chosen individual will have strong knowledge in the organization's protocols and model of services. Why join Effective School Solutions? Effective School Solutions (ESS) is a dynamic organization with a strong track record of providing a highly professional and experienced clinical staff to the school communities that partner with us to provide clinical services within their districts. ESS provides staff with excellent career opportunities. ESS provides extensive time off tied to the school calendar, with limited summer hours. ESS provides highly competitive salary/compensation and benefits package. Clinical Responsibilities Group therapy Individual therapy Family therapy Administrative Duties Clinical Documentation Team Meetings Qualifications and Skills · Master’s Degree in a mental health or related discipline · Must possess a minimum of 3 years’ experience treating children and/or adolescents with significant behavioral and emotional challenges. · Must hold a valid New Hampshire Licensed Clinical Mental Health Counselor(LCMHC) license · Must be able to complete clinical documentation to ESS standards · Must be proficient in Microsoft Office and comfortable using a computer. Benefits ESS provides: · Highly competitive compensation/salary. · Multi-tiered comprehensive medical, dental, vision and short and long term disability plan coverage options. · Company paid Life Insurance · 401k with an employer match · Employee Assistance Program · Discounts offered for entertainment/travel/shopping, child care, and much more! Effective School Solutions is an  equal opportunity employer . All applicants will be considered for employment without attention to race, color, religion, sex, sexual orientation, gender identity, national origin, veteran or disability status. Job Type: Full-time Experience: Mental Health Counseling: 3 years (Required) Education: Master's (Required) License: LCMHC (Required) Language: English/Spanish (Preferred) Work authorization: United States (Required) Additional Compensation: Store Discounts Other forms Work Location: One location Benefits: Health insurance Dental insurance Vision insurance Retirement plan Paid time off Flexible schedule Pay Frequency: Bi weekly or Twice monthly Schedule: Monday to Friday No weekends Day shift Company's website: Effective School Solutions Benefit Conditions: Waiting period may apply Work Remotely: Temporarily due to COVID-19"
29005,Active_Listening.xls,"Licensed Mental Health Therapist / Social Worker - LICSW, LMFT, LPC, LMHC (Remote, Part-Time) 
*This is a part-time, remote position that requires 20 hours/week over three or more weekdays. You will work remotely from your home or office providing evidence-based therapy to clients in your state(s) of licensure.* 
 
About the Company 
Lyra is transforming mental health care through technology with a human touch to help people feel emotionally healthy at work and at home. We work with leading companies, such as Starbucks, uber, Amgen, eBay, and Fortune 500 companies, to improve access to effective, high-quality mental health care for their employees and their families. With our innovative digital care platform and elite provider network, more than 1.3 million people can receive best care and feel better, faster. Founded by David Ebersman, former CFO of Facebook and Genentech, Lyra has raised more than $170 million. 
 
About the Role 
We’re looking for unrestricted, licensed therapists to help us deliver innovative mental health care that combines leading clinical expertise with powerful technology. Our Blended Care Therapy Team is responsible for providing high-quality, evidence-based therapy to our highly-motivated clients via live video. You will be part of a highly-skilled, collaborative team who is shaping an innovative model of care in a rapidly growing business. The work you do will help to create positive outcomes for our clients and redesign how mental health care is delivered. 
What you’ll do
 Provide short-term, evidence-based Cognitive Behavioral Therapy (CBT) via live video for clients who are looking for help for a broad range of mental health needs 
Educate clients on skills, help them to set concrete goals, and assist them with tools for problem-solving 
Employ evidence-based outcome tracking and provide clients with feedback on progress 
Be a key contributor to improving our care model by providing feedback on our technology platform and approach 
Work closely with a collaborative team of elite clinicians through regular consultation groups 
What we offer 
Flexibility -  Work remotely from your own home or office and set your own hours. No more case overload or rigid schedules. 
A collaborative, team-based model -  You’ll join Lyra with a cohort of therapists who will be an ongoing support network and clinical consultation group. 
Diverse and interesting clients -  Work with clients who are motivated to improve and have diverse presenting issues. 
An innovative care experience, driven by technology -  We’ll provide you with all the tools you need to deliver expert care via our leading technology platform. 
Continuous learning opportunities -  Receive ongoing support from team clinicians as well as access to a library of online trainings created by leading experts in the field 
What we’re looking for 
A Master’s degree in social work from a clinical track, marriage and family therapy, or clinical/counseling psychology from an accredited college or university 
An unrestricted license in one or more of the following states: CA, WA, IL, MA, NY, TX, NJ and VA 
2+ years of experience providing evidence-based treatments (e.g., CBT, DBT, exposure therapy for anxiety disorders) and short-term psychotherapy using outcomes management 
Excellent interpersonal skills (communication and listening) and a willingness to receive feedback 
A passion for mental health and Lyra’s mission to deliver an innovative model of care 
Able to commit 20hrs/week to Lyra over three or more weekdays. Candidates who plan to maintain their full-time employment in addition to working with Lyra Health will not be considered. 
Candidates must reside in the United States
 You could be a good fit if you:
 Are a leading clinician, excited to deliver care through an innovative, technology-enabled model.  In addition to providing evidence-based care to your Lyra clients, you will contribute to protocols, provide feedback on online tools and technology, and think critically about our care model. 
Thrive in a fast-paced and evolving environment.  We move quickly to evolve tools and protocols based on data. You’ll thrive if you are comfortable with ambiguity and change and don’t require defined processes to guide you every step of the way. 
Are accountable and collaborative.  Working remotely, you will be expected to work independently, proactively take ownership of key tasks, and keep in regular communication with your team. 
Are comfortable with using technology.  We are transforming mental health care with cutting-edge technology. As part of this new care model, you will use teleconferencing and a web-based platform to communicate with clients and deliver care. 
Are open-minded, non-judgmental, compassionate, flexible, and have good humor. 
We are an Equal Opportunity Employer. We do not discriminate on the basis of race, religion, color, sex, age, national origin or disability."
29006,Active_Listening.xls,"Job Description Exciting Opportunities for Clinical Therapists Licensed in Massachusetts! Join iHope Network, Inc. in delivering technology-supported therapy for depression, anxiety, insomnia, ADHD, and other disorders via video conferencing. iHope is a behavioral health practice, based in Massachusetts and operating in multiple states, that treats patients that come to us from primary care, college counseling centers and other sources. Position Description iHope Licensed Clinical Therapists provide behavioral health treatment through video for a wide range of clients from adolescents to the elderly, in locations ranging from Massachusetts to India. We try to match our Licensed Clinical Therapists to the patient’s culture, background and preferences, and give our Licensed Clinical Therapists wide latitude in selecting their patients as well.  This is a part-time, independent contractor position. Responsibilities As a Licensed Clinical Therapist at iHope, you will be treating patients through video with anxiety, depression and other conditions. You’ll be delivering treatment on iHope’s HIPAA-compliant platform that provides guidance, resources, and support for your work as a therapist.  You will need to treat a minimum of 10 sessions a week, given the influx of referrals due to the stressors of COVID-19. Requirements LICSW Massachusetts License (other State Licenses a plus) Medicare license preferred Master’s Degree or above in social work or counseling 2+ years’ experience Credentialed in insurance networks a plus Bilingual a plus CBT familiarity Job Type Part-time, flexible hours, you set the scheduling of patient sessions. Compensation Highly competitive. iHope offers incentives to our Licensed Clinical Therapists who speak more than one language or are licensed in more than one state. iHope strives to be a great place to practice. Our Licensed Clinical Therapists work where they want with flexible hours, paid training, opportunities for CE credits and competitive compensation. iHope is an equal opportunity employer - a diverse workforce and a welcoming environment are part of our corporate goals. Job Types: Part-time, Contract Salary: $45.00 to $47.00 /hour Job Types: Part-time, Contract Salary: $45.00 to $47.00 /hour Experience: bilingual: 1 year (Preferred) License: LICSW (Required) Medicare (Preferred) Full Time Opportunity: Yes Additional Compensation: Bonuses Work Location: Fully Remote Benefits: Work from home Flexible schedule This Company Describes Its Culture as: People-oriented -- supportive and fairness-focused Team-oriented -- cooperative and collaborative Schedule: Monday to Friday Work Remotely: Yes"
29007,Active_Listening.xls,"Family Continuity is seeking a full-time Clinician to provide clinical support to the Family Resource Center Program, perform family and individual assessments, facilitate support groups and parent education classes, and build and maintain provider relationships in the service area. Essential Responsibilities Clinical Conduct intake, screening, and assessment functions for family members (with varying developmental stages, inclusive of all ethnic backgrounds, religions, sexual orientation, genders, and ages) experiencing CRA-related issues. Perform intake assessments that are trauma-informed, address risk factors, and are based upon the systemic issues facing individuals and families. Responsible for completing the modified CANS as well as other identified supplemental behavioral needs assessments. Oversee the development of the Family Support Plan. May work with all Family Members who are involved with the FRC; however, Family Members experiencing CRA-related issues are prioritized for services. At times, could offer Individual Therapy on a limited basis as needed May facilitate FRC parenting group sessions. Develop solution-focused, strength-based, and trauma-focused treatment goals with individuals and families. Provide direct support to individuals and families both individually and in a team capacity with other program staff. Assist individuals and families in finding areas of competency and develop psychosocial skills. Assist individuals and families in gaining control over and insight into their behavior. Advocate for individuals and families in the community when clinically indicated or as determined by program needs. Ensure youth and family voice and choice is implemented in service delivery. Create safety plans with individuals and families and arrange and coordinate staff assistance when appropriate. May attend meetings in both school or court settings Programmatic Provides clinical support to other FRC staff as needed. Be thoroughly versed in all procedures necessary to utilize crisis teams and other ancillary resources. Work as a clinical support to non-clinically trained staff and community resources in order to aid in the development of therapeutically indicated approaches to all individuals and families /staff interactions. Responsible for the completion of all clinical documentation as directed by supervisor. Connect and communicate with larger systems in the community and be fluent in systemic therapeutic approaches. Education / Skills Degree in Social Work, Counseling, Psychology or similar degree. Must have at least five years of clinical experience. Current driver’s license, reliable transportation to and from many meetings, sites and appointments. Must be able to travel within a community. Must have access to personal cell phone. Must have license: LICSW, LCSW, LMHC, or LMFT. Must become First Aid/ CPR certified if not currently certified. Benefits At Family Continuity, our most valued asset is our people. An investment in our employees is an investment in our success. That’s why we pride ourselves on offering a comprehensive, value-driven benefits package that promotes health, enhances work/life balance, and provides stability for our employees and their family members, now and into the future. We're proud to say that our benefits packet ranks as one of the most robust among nonprofits providing our employees with a variety of options allowing them to choose what works best for them, their spouses, and their families. Our comprehensive benefits package can include: Competitive compensation Differential for Independent licensure in the state of Massachusetts Salary differential for BILINGUAL Masters Level Clinicians Flexible schedules and innovative payment models based on your needs Supervision for licensure and in-house training for CEUs 401k retirement plan Medical, dental, Flexible Spending Account Vacation Sick Leave Cell Phone Stipend Employee referral bonuses Professional Liability Insurance Mileage Reimbursement Employee Assistance Program (EAP) CPR / First Aid / Narcan Training Build Your Career With Us Family Continuity is rapidly expanding its energetic workforce to lead fast paced, innovative clinical programming throughout Massachusetts. Our mission for over 30 years is t  inspire individuals and families to achieve overall wellness through counseling, support, education, and making connections to community . This is evidenced by our quality work with clients and a strong commitment to our employees. Diversity is Important to Us At Family Continuity, we value you as an individual; your unique skills and talents are the keys to our success. We value your dedication and hard work, and give you the tools and experience needed to succeed and become a leader in the clinical field. We are an equal opportunity employer and actively seeks candidates from diverse backgrounds including women, communities of color, the LGBTQ community and people with disabilities. Job Types: Full-time, Part-time Experience: clinicial: 5 years (Required) Education: Master's (Required) License: Driver's License (Required) LICSW, LCSW, LMHC, or LMFT (Required)"
29008,Active_Listening.xls,"As an ACCS Awake Overnight Residential Counselor in a Residential Group Living Environment, (GLE), you will provide direct support to people with psychiatric conditions in a residential Group Living Environment designed to assist in fostering independence. ACCS Awake Overnight Residential Counselors are vital to ensuring that Persons Served are able to receive quality services regardless of the time of day. In your role you will work together with the people we serve, their families, friends, employers, and other support staff to transform their lives by either building independence skills or increasing each person's quality of life. 
 
In this role you will have a range of duties include administrating medication under the Medication Administration Plan (MAP), implementing treatment plans, and assisting people with activities of daily living and ensuring the safety and cleanliness of the program. 
 
Why Vinfen? We are committed to you! We offer great training, great benefits, career growth and job security! 
 
Our comprehensive and generous benefits package includes: 
 
 A fully funded, employer-sponsored retirement plan that requires no employee contribution as well as an employee-funded 403(b) plan 
 First-rate Medical, Dental and Vision plans that are open all employees scheduled to work 30 hours per week or more. Plus, we offer a generous employer contribution toward the cost of medical insurance! 
 Employer-paid Life, Accidental Death & Dismemberment and Long-Term Disability Insurance (no cost to you!) 
 Employer-paid Short-Term Disability Insurance along with the option to purchase additional, voluntary, Short-Term disability insurance 
 Flexible Spending Reimbursement Accounts (Health and Dependent care) 
 Voluntary Term, Whole Life, Accident and Critical Care Insurance 
 Generous paid time off (Employees scheduled to work 20 hours or more per week):
 15 days of Vacation per year 
 11 Paid Holidays 
 10 Sick Days per year 
 3 Personal Days per year 
 Educational Assistance and Remission Programs 
 $500 Employee Referral Bonus with no annual cap! 
 Other generous benefits including discounted YMCA memberships, access to discounted movie tickets and more! 
 
 Founded in 1977, for 40 years Vinfen has been a leading nonprofit human services organization that ""transforms lives"" by building the capacity of individuals, families, organizations and communities to learn, thrive and achieve their goals. Vinfen supports thousands of adolescents and adults with psychiatric, developmental and behavioral disabilities at more than 200 sites with 2,800 employees in eastern Massachusetts and Connecticut.  www.vinfen.org/careers 
 
My Vinfen. My Community. My Job. 
 
Vinfen is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, pregnancy, sexual orientation, gender identity, national origin, age, protected veteran status, or disability status. 
 
Keywords: group home, overnight, evening, direct care, DSP, Direct Support, social services, counseling, social work, psychology, mental illness, mental health, disability, behavioral, rehabilitative, psychiatric, outreach worker, outreach services , human services, nonprofit, crisis, trauma, advocacy, recovery, ACCSResCape, VinfenAwake 
 A high school diploma or equivalent is required. Associate's degree in a human service discipline preferred. 
 Prior experience working in a human services setting strongly preferred. 
 Preference given to bilingual/bicultural applicants and applicants with lived experience of psychiatric conditions. 
 
 All candidates for this position must be a least 21 years of age and have held a valid US driver's license for at least one year and should be able to pass a CORI, driving record, employment reference check as well as a multi-state background check. Additionally, all candidates must be able to become CPR and First Aid certified within two weeks of hire and become MAP certified within 150 days of hire."
29009,Active_Listening.xls,"Working at MVCS means supporting a community.
 Join our team as a Licensed Outpatient Clinician. 
 
Martha’s Vineyard Community Services Island Counseling Center is seeking clinicians for our outpatient clinic. As part of a therapeutic team, clinicians will have an opportunity to provide individual and group therapy, home-based individual, and family and group therapeutic services to a diverse caseload of all ages. All clinicians have an opportunity to participate in peer support, and may with proper credentials, provide supervision for other staff on track to licensure. Bilingual (English/Portuguese) a plus. 
 
MVCS is the sole outpatient clinic for mental health and substance use crisis services on the Island. It has a rich history of success and many creative projects in development. 
 
To learn more visit www.mvcommunityservices.orgwww.mvcommunityservices.org"
