,applicant_id,race,gender,application_date,application_recieved,application_evaluation,certificate,mananger_review_data,interview_date,offer_date
0,0,white,female,2019-08-01,2019-08-06,2019-08-15,2019-08-16,None,None,None
1,96,native american,female,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,2019-08-27,2019-08-29
2,97,native american,other,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,None,None
3,98,native hawaiian,other,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,2019-08-27,2019-08-29
4,99,native hawaiian,male,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,None,None
5,100,hispanic,other,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,2019-08-27,None
6,101,native american,female,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,None,None
7,102,hispanic,female,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,2019-08-27,2019-08-29
8,103,native hawaiian,other,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,None,None
9,104,native hawaiian,other,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,2019-08-27,2019-08-29
10,105,black,male,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,None,None
11,106,white,other,2019-08-01,2019-08-06,2019-08-15,2019-08-16,None,None,None
12,107,native hawaiian,female,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,None,None
13,108,black,other,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,2019-08-27,2019-08-29
14,109,asian,other,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,None,None
15,110,native hawaiian,male,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,2019-08-27,None
16,95,hispanic,male,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,None,None
17,111,black,male,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,2019-08-27,2019-08-29
18,94,white,female,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,None,None
19,92,black,other,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,2019-08-27,2019-08-29
20,77,black,female,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,None,None
21,78,asian,male,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,2019-08-27,2019-08-29
22,79,black,female,2019-08-01,2019-08-06,2019-08-15,2019-08-16,None,None,None
23,80,black,other,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,2019-08-27,2019-08-29
24,81,black,other,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,None,None
25,82,hispanic,other,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,2019-08-27,None
26,83,asian,female,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,None,None
27,84,native hawaiian,other,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,2019-08-27,2019-08-29
28,85,native american,other,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,None,None
29,86,hispanic,other,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,2019-08-27,2019-08-29
30,87,black,male,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,None,None
31,88,black,other,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,2019-08-27,2019-08-29
32,89,native hawaiian,other,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,None,None
33,90,hispanic,other,2019-08-01,2019-08-06,2019-08-15,2019-08-16,None,None,None
